sample_id,ticker,sector,cold_start_weeks,model,augmentation_method,MAE,RMSE,MAPE
AAPL_w04_s0000,AAPL,technology,4,naive,none,4.710443769182477,6.371919700829956,6.805185576991176
AAPL_w04_s0000,AAPL,technology,4,moving_average,none,4.143158176967075,5.5429686468436055,5.970417469067389
AAPL_w04_s0000,AAPL,technology,4,linear_trend,none,8.798439857655001,10.93734250552062,12.566167463922904
AAPL_w04_s0001,AAPL,technology,4,naive,none,5.016713687351772,5.913827081952492,8.410435696361338
AAPL_w04_s0001,AAPL,technology,4,moving_average,none,6.0416383743286115,7.099954558012674,10.144168796672524
AAPL_w04_s0001,AAPL,technology,4,linear_trend,none,8.18911922569562,10.488205946277832,12.69422109005032
AAPL_w04_s0002,AAPL,technology,4,naive,none,8.606174741472516,9.346053961415205,11.501305323606799
AAPL_w04_s0002,AAPL,technology,4,moving_average,none,6.0056754520961215,6.880774574006138,7.971893696561051
AAPL_w04_s0002,AAPL,technology,4,linear_trend,none,2.4421715049047052,2.7639525014270396,3.313901814198835
AAPL_w04_s0003,AAPL,technology,4,naive,none,7.75367682320731,8.820696315410123,8.829801671574518
AAPL_w04_s0003,AAPL,technology,4,moving_average,none,8.546175602504189,9.524825281273422,9.757229892701092
AAPL_w04_s0003,AAPL,technology,4,linear_trend,none,3.3058150946005616,3.820912630638282,3.7661471709232517
AAPL_w04_s0004,AAPL,technology,4,naive,none,8.658131190708707,11.479499751205239,8.049436894113732
AAPL_w04_s0004,AAPL,technology,4,moving_average,none,9.395193263462618,12.297500606728802,8.743744359005959
AAPL_w04_s0004,AAPL,technology,4,linear_trend,none,4.803624863834567,5.500962280565946,4.697945385188803
AAPL_w04_s0005,AAPL,technology,4,naive,none,6.1587257385253915,7.591817985288641,5.253620708067618
AAPL_w04_s0005,AAPL,technology,4,moving_average,none,6.1610473632812495,7.756085342599478,5.230856519261915
AAPL_w04_s0005,AAPL,technology,4,linear_trend,none,21.732852412550592,27.352676057610058,19.917949621150854
AAPL_w04_s0006,AAPL,technology,4,naive,none,3.209398542131698,3.944484793204247,2.823383958508737
AAPL_w04_s0006,AAPL,technology,4,moving_average,none,4.980290004185268,5.726498791230559,4.357357863765272
AAPL_w04_s0006,AAPL,technology,4,linear_trend,none,20.803747392238538,21.85573487700022,18.455128880412847
AAPL_w04_s0007,AAPL,technology,4,naive,none,3.282088415963307,4.157865551707143,2.754840669923568
AAPL_w04_s0007,AAPL,technology,4,moving_average,none,6.244313430786126,7.241729419583056,5.235095483276607
AAPL_w04_s0007,AAPL,technology,4,linear_trend,none,14.595710378661183,16.074374695943224,12.296079540662017
AAPL_w04_s0008,AAPL,technology,4,naive,none,4.367216655186244,5.989726433563932,3.286008844799186
AAPL_w04_s0008,AAPL,technology,4,moving_average,none,6.7780090876987975,8.171568353176571,5.141605683523664
AAPL_w04_s0008,AAPL,technology,4,linear_trend,none,4.69290504004851,5.954644550088865,3.688926396075539
AAPL_w04_s0009,AAPL,technology,4,naive,none,6.0193944658551874,7.081726588571361,4.961250066390934
AAPL_w04_s0009,AAPL,technology,4,moving_average,none,10.573252977643687,12.288466475076932,8.739921541679529
AAPL_w04_s0009,AAPL,technology,4,linear_trend,none,17.545239220525986,20.44559341808166,14.50103500506379
AAPL_w04_s0010,AAPL,technology,4,naive,none,5.15499986921038,6.830551310050933,4.047710135332737
AAPL_w04_s0010,AAPL,technology,4,moving_average,none,6.178691864013671,8.068017005439163,4.852256724956734
AAPL_w04_s0010,AAPL,technology,4,linear_trend,none,20.011562886632458,22.917451807881452,15.927451046531798
AAPL_w04_s0011,AAPL,technology,4,naive,none,5.092496599469868,5.923688291968923,4.139552823154203
AAPL_w04_s0011,AAPL,technology,4,moving_average,none,5.486062186104912,6.348964207997873,4.458681008194327
AAPL_w04_s0011,AAPL,technology,4,linear_trend,none,20.880191834528656,23.214049996518604,16.90956905383492
AAPL_w04_s0012,AAPL,technology,4,naive,none,8.811744689941406,10.737220532011936,6.576899503673279
AAPL_w04_s0012,AAPL,technology,4,moving_average,none,7.6679564339773965,9.727996521431496,5.701548540827293
AAPL_w04_s0012,AAPL,technology,4,linear_trend,none,10.257037434644543,12.547654387300279,7.652588691770676
AAPL_w04_s0013,AAPL,technology,4,naive,none,2.593937465122768,3.026076808743922,1.7982708641163192
AAPL_w04_s0013,AAPL,technology,4,moving_average,none,3.147869655064174,3.526683576747623,2.1839282042245447
AAPL_w04_s0013,AAPL,technology,4,linear_trend,none,9.820220492042349,11.413735003094224,6.847628705452951
AAPL_w04_s0014,AAPL,technology,4,naive,none,3.4627462114606584,4.326122414307304,2.3525298454202033
AAPL_w04_s0014,AAPL,technology,4,moving_average,none,2.928636278424944,3.748118496374716,2.0102665255616112
AAPL_w04_s0014,AAPL,technology,4,linear_trend,none,3.4017559227702696,4.253591889774014,2.3483853729570123
AAPL_w04_s0015,AAPL,technology,4,naive,none,4.347986493791852,5.285918937308879,2.9901531998916986
AAPL_w04_s0015,AAPL,technology,4,moving_average,none,3.8399381365094842,4.237933895564027,2.665828786561971
AAPL_w04_s0015,AAPL,technology,4,linear_trend,none,13.631653821148245,16.242646067808185,9.374989289206946
AAPL_w04_s0016,AAPL,technology,4,naive,none,12.729875837053571,15.508044081387597,7.688745197327972
AAPL_w04_s0016,AAPL,technology,4,moving_average,none,12.544045584542411,15.302311208159562,7.575995777175399
AAPL_w04_s0016,AAPL,technology,4,linear_trend,none,5.994344861679004,7.274559375437071,3.661206641170276
AAPL_w04_s0017,AAPL,technology,4,naive,none,5.449625287737165,6.531672282338659,3.2695106977735415
AAPL_w04_s0017,AAPL,technology,4,moving_average,none,5.383840942382814,7.0107407608571295,3.291693855983682
