sample_id,ticker,sector,model,cold_start_weeks,augmentation_ratio,n_synthetic_points,baseline_MAPE,augmented_MAPE,MAPE_difference,percent_change_MAPE,improved
GS_w12_s0034,GS,finance,naive,12,2.0,120,0.8116693139174896,61.6630758826504,60.85140656873291,7497.068760063877,False
GS_w12_s0034,GS,finance,moving_average,12,2.0,120,0.8829413229043045,57.81728835593704,56.934347033032736,6448.259420655005,False
TGT_w12_s0029,TGT,consumer,naive,12,2.0,120,0.981647691041944,63.72363505453784,62.741987363495895,6391.497472672713,False
GS_w08_s0001,GS,finance,naive,8,2.0,80,2.0761680593415455,121.6512904794466,119.57512242010506,5759.414411665122,False
WMT_w12_s0036,WMT,consumer,naive,12,2.0,120,0.6518016078963845,34.804137041064166,34.152335433167785,5239.68259964724,False
TGT_w08_s0030,TGT,consumer,moving_average,8,2.0,80,1.061067906908755,56.02522436304495,54.964156456136195,5180.0790598092,False
TGT_w12_s0029,TGT,consumer,moving_average,12,2.0,120,1.0206817586144366,53.79868393662682,52.778002178012386,5170.857785256974,False
XOM_w08_s0001,XOM,energy,naive,8,2.0,80,3.4659509587980204,171.10708639315163,167.6411354343536,4836.800561439304,False
TGT_w08_s0030,TGT,consumer,naive,8,2.0,80,1.2102621853702251,57.22672214279482,56.016459957424594,4628.456596806656,False
COST_w12_s0034,COST,consumer,linear_trend,12,2.0,120,0.9726130034515992,40.178005213962095,39.205392210510496,4030.9344077632927,False
TGT_w12_s0020,TGT,consumer,moving_average,12,2.0,120,3.1699710028419363,125.55935641699088,122.38938541414896,3860.8992102585366,False
JPM_w08_s0001,JPM,finance,moving_average,8,2.0,80,3.9170613502303815,149.0126664885504,145.09560513832002,3704.195369056097,False
TGT_w08_s0012,TGT,consumer,linear_trend,8,2.0,80,0.7560486219969245,28.13518081876992,27.379132196772996,3621.3454267607103,False
TGT_w12_s0020,TGT,consumer,naive,12,2.0,120,4.098343949442987,150.97651141431686,146.87816746487388,3583.8418950863393,False
WMT_w12_s0036,WMT,consumer,moving_average,12,2.0,120,1.019180472090575,35.904180152616405,34.88499968052583,3422.848125118471,False
BAC_w08_s0001,BAC,finance,naive,8,2.0,80,4.704842271153463,161.91575699807697,157.2109147269235,3341.47046099339,False
NVDA_w12_s0027,NVDA,technology,naive,12,2.0,120,2.3648564082417667,80.86426243482474,78.49940602658297,3319.4153248799594,False
GS_w08_s0001,GS,finance,naive,8,1.0,40,2.0761680593415455,70.94513394282347,68.86896588348193,3317.1190344448155,False
XOM_w12_s0009,XOM,energy,moving_average,12,2.0,120,2.2062889726971435,73.50837539413232,71.30208642143518,3231.765525903428,False
JPM_w08_s0001,JPM,finance,naive,8,2.0,80,4.48401305597929,147.7096872178491,143.22567416186982,3194.1404356725257,False
BAC_w12_s0034,BAC,finance,naive,12,2.0,120,1.982123734506137,63.62034366342657,61.63821992892043,3109.7059611305303,False
GS_w12_s0034,GS,finance,naive,12,1.0,60,0.8116693139174896,25.787325793363536,24.975656479446045,3077.072897939437,False
WMT_w12_s0036,WMT,consumer,naive,12,1.0,60,0.6518016078963845,20.52691319944633,19.875111591549945,3049.257834096882,False
GS_w12_s0034,GS,finance,moving_average,12,1.0,60,0.8829413229043045,27.73317605621468,26.850234733310376,3040.9987659191797,False
JPM_w12_s0000,JPM,finance,naive,12,2.0,120,3.628446666367374,113.53977370527048,109.9113270389031,3029.156472318801,False
CVX_w04_s0034,CVX,energy,moving_average,4,2.0,40,1.4629397447702557,45.66201103695066,44.199071292180406,3021.250290737132,False
AAPL_w12_s0002,AAPL,technology,linear_trend,12,2.0,120,1.836962480977288,56.78901228581464,54.95204980483736,2991.462829202813,False
GS_w04_s0035,GS,finance,moving_average,4,2.0,40,0.8453379081403016,25.952316720683054,25.106978812542753,2970.052398073188,False
NVDA_w12_s0029,NVDA,technology,linear_trend,12,2.0,120,2.487070722352237,75.81116507147829,73.32409434912604,2948.2110697590915,False
TGT_w12_s0002,TGT,consumer,naive,12,2.0,120,1.7973440406810093,54.31062220304107,52.51327816236006,2921.715429755058,False
NVDA_w12_s0020,NVDA,technology,moving_average,12,2.0,120,5.099991070284514,153.14661145943523,148.04662038915072,2902.879992315194,False
BAC_w08_s0001,BAC,finance,moving_average,8,2.0,80,5.46167570653721,161.08995955633802,155.6282838498008,2849.46035268124,False
GS_w08_s0001,GS,finance,naive,8,0.5,20,2.0761680593415455,60.67791551107031,58.60174745172876,2822.5917062954068,False
CVX_w08_s0001,CVX,energy,naive,8,2.0,80,4.7074362256641615,137.5328151522838,132.82537892661963,2821.6076131308523,False
NVDA_w12_s0027,NVDA,technology,moving_average,12,2.0,120,2.855013636974683,81.8882192884329,79.0332056514582,2768.2251540908856,False
TGT_w12_s0029,TGT,consumer,naive,12,1.0,60,0.981647691041944,27.99429700163704,27.012649310595098,2751.7661944402103,False
TGT_w12_s0034,TGT,consumer,naive,12,2.0,120,2.175235347513203,61.67656194422918,59.50132659671598,2735.3971911471444,False
TGT_w08_s0030,TGT,consumer,moving_average,8,1.0,40,1.061067906908755,30.05755537322398,28.996487466315227,2732.7645363237566,False
TGT_w08_s0002,TGT,consumer,moving_average,8,2.0,80,1.8505003917557543,52.05293612858342,50.20243573682767,2712.9113811856914,False
TGT_w08_s0030,TGT,consumer,naive,8,1.0,40,1.2102621853702251,33.67103313741192,32.46077095204169,2682.1271741306023,False
XOM_w12_s0009,XOM,energy,naive,12,2.0,120,2.607475326045817,72.36867243888813,69.76119711284231,2675.430766918655,False
TGT_w12_s0029,TGT,consumer,moving_average,12,1.0,60,1.0206817586144366,28.31629907038978,27.29561731177534,2674.253466509367,False
TGT_w04_s0030,TGT,consumer,naive,4,2.0,40,1.4651239236675182,40.54649457357131,39.08137064990379,2667.4447136235935,False
TGT_w12_s0034,TGT,consumer,moving_average,12,2.0,120,2.2714348865211047,62.28118163907632,60.009746752555216,2641.9311911012,False
TGT_w12_s0004,TGT,consumer,linear_trend,12,2.0,120,1.930875421858785,52.73292783476663,50.80205241290784,2631.0372920901605,False
TGT_w12_s0002,TGT,consumer,moving_average,12,2.0,120,1.8829378890933248,51.119604752272984,49.23666686317966,2614.885342122898,False
CVX_w12_s0018,CVX,energy,naive,12,2.0,120,2.596338554500632,70.17385602407296,67.57751746957233,2602.800676838922,False
JPM_w12_s0000,JPM,finance,moving_average,12,2.0,120,4.337367741357724,114.87624895616446,110.53888121480674,2548.5245385304775,False
CVX_w12_s0009,CVX,energy,moving_average,12,2.0,120,2.093356464384676,54.73620004267518,52.6428435782905,2514.7577335217206,False
NVDA_w08_s0020,NVDA,technology,naive,8,2.0,80,5.646621643913191,146.82301670957838,141.1763950656652,2500.192220561601,False
AAPL_w12_s0028,AAPL,technology,linear_trend,12,2.0,120,1.0427876195734984,26.874497345314214,25.831709725740716,2477.1784053502593,False
CVX_w12_s0015,CVX,energy,naive,12,2.0,120,1.6889948650236095,43.45105406164931,41.7620591966257,2472.5983519222796,False
BAC_w12_s0000,BAC,finance,naive,12,2.0,120,5.530547360487876,141.66201418888562,136.13146682839775,2461.4465432656366,False
NVDA_w12_s0020,NVDA,technology,naive,12,2.0,120,5.521222293428601,139.5801543539377,134.0589320605091,2428.0661950537115,False
WMT_w12_s0038,WMT,consumer,linear_trend,12,2.0,120,1.1055036186149982,27.852726052820792,26.747222434205792,2419.460414586011,False
AAPL_w08_s0002,AAPL,technology,linear_trend,8,2.0,80,1.8615460053075343,46.859967693276126,44.998421687968595,2417.2607907444485,False
NVDA_w08_s0020,NVDA,technology,moving_average,8,2.0,80,6.087725992066883,152.06459397787663,145.97686798580975,2397.8882784152415,False
COST_w12_s0010,COST,consumer,naive,12,2.0,120,0.8073518452105936,20.058395437807857,19.251043592597263,2384.4676527091765,False
CVX_w04_s0019,CVX,energy,moving_average,4,2.0,40,1.9524664011341863,48.27007001847137,46.317603617337184,2372.261237910743,False
COST_w12_s0013,COST,consumer,moving_average,12,2.0,120,1.6590470974875402,40.94651662690104,39.2874695294135,2368.074395772755,False
COST_w12_s0013,COST,consumer,naive,12,2.0,120,1.7071825676463406,42.07095689396365,40.363774326317305,2364.35019260805,False
MSFT_w12_s0029,MSFT,technology,naive,12,2.0,120,1.5483007970072893,38.05038385220056,36.502083055193275,2357.5575964146083,False
MSFT_w12_s0012,MSFT,technology,linear_trend,12,2.0,120,1.4074999244898916,34.491753629474225,33.084253704984334,2350.568772994768,False
TGT_w08_s0021,TGT,consumer,moving_average,8,2.0,80,5.597772549473961,137.00903051413832,131.41125796466434,2347.5633710235948,False
WMT_w04_s0021,WMT,consumer,moving_average,4,2.0,40,2.707198513861162,65.96298551838177,63.255787004520606,2336.5773392916635,False
NVDA_w12_s0036,NVDA,technology,naive,12,2.0,120,5.156170557845927,124.93164603707912,119.7754754792332,2322.95410199292,False
GS_w08_s0035,GS,finance,naive,8,2.0,80,1.0162405322382302,24.555177728822407,23.53893719658418,2316.2761619771836,False
CVX_w12_s0018,CVX,energy,moving_average,12,2.0,120,2.602330777790468,62.851826881729245,60.249496103938775,2315.212832209369,False
MSFT_w12_s0029,MSFT,technology,moving_average,12,2.0,120,1.6383081072727586,39.54172894413644,37.90342083686368,2313.570974141143,False
BAC_w12_s0034,BAC,finance,moving_average,12,2.0,120,2.5338609073579157,60.532083935622026,57.99822302826411,2288.926864921701,False
NVDA_w08_s0012,NVDA,technology,naive,8,2.0,80,2.721368074431477,64.99923807067184,62.27786999624036,2288.4765416839423,False
COST_w12_s0006,COST,consumer,naive,12,2.0,120,1.221366058721348,28.937281503814702,27.715915445093355,2269.255416685579,False
COST_w12_s0010,COST,consumer,moving_average,12,2.0,120,0.9613157298526844,22.602687555374732,21.641371825522047,2251.224145561256,False
AAPL_w12_s0029,AAPL,technology,linear_trend,12,2.0,120,1.0642353092359278,24.99751685251237,23.93328154327644,2248.87121631582,False
GS_w12_s0011,GS,finance,moving_average,12,2.0,120,1.6557472058648142,38.64420941979179,36.98846221392698,2233.943809955428,False
