model,augmentation_ratio,number_of_comparisons,mean_baseline_MAPE,mean_augmented_MAPE,mean_MAPE_difference,mean_percent_change_MAPE,improvement_rate
linear_trend,0.5,1419,8.291196816598644,6.766138867885299,-1.5250579487133447,-3.8489303384112774,0.6201550387596899
linear_trend,1.0,1419,8.291196816598644,6.720860467651248,-1.5703363489473963,-3.9917284405560105,0.6159267089499648
linear_trend,2.0,1419,8.291196816598644,6.734609283103297,-1.5565875334953472,-3.6069535600082663,0.6131078224101479
moving_average,0.5,1419,5.6999816943708055,5.392315226485957,-0.3076664678848477,-1.2963313665344423,0.5609584214235377
moving_average,1.0,1419,5.6999816943708055,5.403809363100146,-0.29617233127065873,-1.2757491455423668,0.5630725863284003
moving_average,2.0,1419,5.6999816943708055,5.382267181822457,-0.31771451254834754,-1.5637825507507521,0.5658914728682171
naive,0.5,1419,5.315373018901925,5.315373018901925,1.846459716783206e-17,1.5428289704884723e-16,0.01127554615926709
naive,1.0,1419,5.315373018901925,5.315373018901925,4.021526671299017e-17,2.703026045020978e-16,0.0204369274136716
naive,2.0,1419,5.315373018901925,5.315373018901925,4.115414453508332e-17,2.9763472237256455e-16,0.019732205778717406
