sample_id,ticker,sector,cold_start_weeks,model,augmentation_method,augmentation_ratio,n_synthetic_points,MAE,RMSE,MAPE
AAPL_w04_s0002,AAPL,technology,4,naive,statistical,1.0,20,3.0899026394664952,4.057728266057085,4.388298327753148
AAPL_w04_s0002,AAPL,technology,4,moving_average,statistical,1.0,20,3.8789770691545096,5.283951716371054,5.549417534300534
AAPL_w04_s0002,AAPL,technology,4,linear_trend,statistical,1.0,20,13.197791330292688,13.275129141468222,18.0052325402724
AAPL_w04_s0002,AAPL,technology,4,naive,statistical,2.0,40,14.271974063747733,14.729960103313697,19.75086547699441
AAPL_w04_s0002,AAPL,technology,4,moving_average,statistical,2.0,40,14.282539354050398,14.740197127885489,19.765297949652403
AAPL_w04_s0002,AAPL,technology,4,linear_trend,statistical,2.0,40,22.49205725328543,22.53278150888317,30.71121116188707
AAPL_w04_s0003,AAPL,technology,4,naive,statistical,0.5,10,5.062324549929867,5.993469683494336,5.760199816931491
AAPL_w04_s0003,AAPL,technology,4,moving_average,statistical,0.5,10,6.331166544674553,7.374824990077742,7.194416221717207
AAPL_w04_s0003,AAPL,technology,4,linear_trend,statistical,0.5,10,1.9258473274440375,2.248135779934648,2.2397384389715653
AAPL_w04_s0003,AAPL,technology,4,naive,statistical,1.0,20,4.350503306799734,5.128463916489215,4.979628611452961
AAPL_w04_s0003,AAPL,technology,4,moving_average,statistical,1.0,20,4.396648161437806,5.181838937322616,5.029854607162231
AAPL_w04_s0003,AAPL,technology,4,linear_trend,statistical,1.0,20,2.5078955938431613,3.087351276187867,3.0281215759179654
AAPL_w04_s0003,AAPL,technology,4,naive,statistical,2.0,40,4.908310455015494,5.99188946832019,5.931408324322109
AAPL_w04_s0003,AAPL,technology,4,moving_average,statistical,2.0,40,4.419440693914767,5.476259155413493,5.337626192972678
AAPL_w04_s0003,AAPL,technology,4,linear_trend,statistical,2.0,40,8.632329089671625,8.875178670826116,10.214382941541714
AAPL_w04_s0004,AAPL,technology,4,naive,statistical,0.5,10,8.02929633004325,9.577760633799757,7.637079836490054
AAPL_w04_s0004,AAPL,technology,4,moving_average,statistical,0.5,10,8.02929633004325,9.852793633031458,7.594076139530935
AAPL_w04_s0004,AAPL,technology,4,linear_trend,statistical,0.5,10,4.8921224215373815,5.9458707390816015,5.099347273978185
AAPL_w04_s0004,AAPL,technology,4,naive,statistical,1.0,20,8.02929633004325,8.390413925163156,8.062496184510534
AAPL_w04_s0004,AAPL,technology,4,moving_average,statistical,1.0,20,8.02929633004325,8.382347987363387,8.053939997731918
AAPL_w04_s0004,AAPL,technology,4,linear_trend,statistical,1.0,20,8.191883115767725,9.728967710218859,8.596817613520747
AAPL_w04_s0004,AAPL,technology,4,naive,statistical,2.0,40,11.105769370005467,13.859577585078958,11.784572972261019
AAPL_w04_s0004,AAPL,technology,4,moving_average,statistical,2.0,40,10.07389060161824,12.715809164186648,10.706888308245732
AAPL_w04_s0004,AAPL,technology,4,linear_trend,statistical,2.0,40,17.123195776152862,17.929148508160406,17.531195696783627
AAPL_w04_s0005,AAPL,technology,4,naive,statistical,0.5,10,11.80220894719996,13.498908493926518,10.715797861091174
AAPL_w04_s0005,AAPL,technology,4,moving_average,statistical,0.5,10,14.386872824249448,16.03265132574285,13.020028557734781
AAPL_w04_s0005,AAPL,technology,4,linear_trend,statistical,0.5,10,35.93109947403486,39.903646665284136,32.424999951225786
AAPL_w04_s0005,AAPL,technology,4,naive,statistical,1.0,20,27.048829886225942,28.015188026807525,24.15054729290922
AAPL_w04_s0005,AAPL,technology,4,moving_average,statistical,1.0,20,23.459460714311515,24.56741457642044,20.99872205989821
AAPL_w04_s0005,AAPL,technology,4,linear_trend,statistical,1.0,20,46.498090007291275,49.44090786277634,41.679246145676515
AAPL_w04_s0005,AAPL,technology,4,naive,statistical,2.0,40,54.26615020989124,54.75423837992698,48.05007750626918
AAPL_w04_s0005,AAPL,technology,4,moving_average,statistical,2.0,40,51.38161991586903,51.896844096170426,45.51717132397343
AAPL_w04_s0005,AAPL,technology,4,linear_trend,statistical,2.0,40,73.7860878846035,75.70388073568068,65.64658898810222
