cold_start_weeks,model,augmentation_ratio,number_of_comparisons,mean_baseline_MAPE,mean_augmented_MAPE,mean_MAPE_difference,mean_percent_change_MAPE,improvement_rate
4,linear_trend,0.5,484,8.707861080756052,7.934867269246961,-0.7729938115090916,1.5808313284111213,0.5702479338842975
4,linear_trend,1.0,484,8.707861080756052,7.875227877660044,-0.8326332030960094,1.5155265161460096,0.5681818181818182
4,linear_trend,2.0,484,8.707861080756052,7.948715516956365,-0.759145563799688,2.693601715640594,0.5640495867768595
4,moving_average,0.5,484,5.553188207291144,5.44132222609274,-0.11186598119840443,0.346156657465267,0.518595041322314
4,moving_average,1.0,484,5.553188207291144,5.460661895789792,-0.09252631150135275,0.8112450024755401,0.518595041322314
4,moving_average,2.0,484,5.553188207291144,5.4614916415235,-0.09169656576764368,1.0889064040256982,0.5103305785123967
4,naive,0.5,484,5.3640547601240325,5.3640547601240325,0.0,0.0,0.0
4,naive,1.0,484,5.3640547601240325,5.3640547601240325,5.82637703005764e-17,1.588761010986681e-16,0.028925619834710745
4,naive,2.0,484,5.3640547601240325,5.3640547601240325,6.101638936989496e-17,2.390089012189002e-16,0.026859504132231406
8,linear_trend,0.5,473,8.129418734303124,5.93628695055907,-2.1931317837440534,-8.356769182794656,0.6448202959830867
8,linear_trend,1.0,473,8.129418734303124,5.904532253127203,-2.2248864811759193,-8.04116707905913,0.6553911205073996
8,linear_trend,2.0,473,8.129418734303124,5.890995208931299,-2.238423525371824,-8.170191507618988,0.642706131078224
8,moving_average,0.5,473,5.747368752703998,5.345966533856423,-0.40140221884757604,-1.458491338265299,0.5856236786469344
8,moving_average,1.0,473,5.747368752703998,5.35222903968369,-0.3951397130203088,-1.4446395981433555,0.5687103594080338
8,moving_average,2.0,473,5.747368752703998,5.327857361280075,-0.4195113914239233,-2.1012130012188335,0.5898520084566596
8,naive,0.5,473,5.211485590715634,5.211485590715634,5.539379150349618e-17,4.628486911465416e-16,0.03382663847780127
8,naive,1.0,473,5.211485590715634,5.211485590715634,6.102705843605512e-17,6.483369193588192e-16,0.03171247357293869
8,naive,2.0,473,5.211485590715634,5.211485590715634,6.102705843605512e-17,6.483369193588192e-16,0.03171247357293869
12,linear_trend,0.5,462,8.020321338402962,6.391367029435649,-1.6289543089673124,-4.92208374392795,0.6471861471861472
12,linear_trend,1.0,462,8.020321338402962,6.347287781559505,-1.673033556843457,-5.615379789109693,0.6255411255411255
12,linear_trend,2.0,462,8.020321338402962,6.32638859024284,-1.6939327481601214,-5.535648807181809,0.6341991341991342
12,moving_average,0.5,462,5.805250025875037,5.3884267931614716,-0.4168232327135663,-2.851012182523975,0.5800865800865801
12,moving_average,1.0,462,5.805250025875037,5.397057993304033,-0.40819203257100417,-3.2892123134220186,0.6038961038961039
12,moving_average,2.0,462,5.805250025875037,5.354975421262376,-0.45027460461266217,-3.7925636136087593,0.5995670995670995
12,naive,0.5,462,5.370734037907585,5.370734037907585,0.0,0.0,0.0
12,naive,1.0,462,5.370734037907585,5.370734037907585,0.0,0.0,0.0
12,naive,2.0,462,5.370734037907585,5.370734037907585,0.0,0.0,0.0
