sample_id,ticker,sector,model,cold_start_weeks,augmentation_ratio,n_synthetic_series,baseline_MAPE,augmented_MAPE,MAPE_difference,percent_change_MAPE,improved
NVDA_w12_s0018,NVDA,technology,linear_trend,12,1.0,60,12.528092398801208,29.74865936098361,17.220566962182403,137.4556190520291,False
NVDA_w12_s0018,NVDA,technology,linear_trend,12,2.0,120,12.528092398801208,28.696922061858167,16.16882966305696,129.06058758477968,False
NVDA_w12_s0018,NVDA,technology,linear_trend,12,0.5,30,12.528092398801208,24.088558706527788,11.56046630772658,92.27634934136329,False
COST_w08_s0020,COST,consumer,linear_trend,8,1.0,40,5.703296165668213,16.886582963166372,11.18328679749816,196.08462321871892,False
COST_w08_s0020,COST,consumer,linear_trend,8,2.0,80,5.703296165668213,16.810350174964224,11.10705400929601,194.74797882944375,False
TGT_w04_s0005,TGT,consumer,linear_trend,4,1.0,20,7.137824878730424,18.147653337385066,11.009828458654642,154.2462675353968,False
TGT_w04_s0005,TGT,consumer,linear_trend,4,2.0,40,7.137824878730424,18.005575476104646,10.867750597374222,152.25577514178556,False
BAC_w04_s0028,BAC,finance,linear_trend,4,1.0,20,8.434552435430557,19.097107389805128,10.66255495437457,126.41518368639176,False
NVDA_w08_s0021,NVDA,technology,linear_trend,8,0.5,20,10.351694409249712,20.586777187394297,10.235082778144584,98.87350199402208,False
BAC_w04_s0028,BAC,finance,linear_trend,4,2.0,40,8.434552435430557,17.991846311282824,9.557293875852269,113.3112153729162,False
TGT_w04_s0005,TGT,consumer,linear_trend,4,0.5,10,7.137824878730424,16.69414854575747,9.556323667027048,133.88285408210788,False
GS_w04_s0043,GS,finance,linear_trend,4,2.0,40,4.875547225080318,14.264290721489658,9.38874349640934,192.5679941753548,False
GS_w04_s0043,GS,finance,linear_trend,4,0.5,10,4.875547225080318,14.22458347191169,9.349036246831371,191.7535779109874,False
NVDA_w04_s0016,NVDA,technology,linear_trend,4,2.0,40,18.07043816878589,27.327401594120847,9.256963425334956,51.22711103555332,False
